iso3c,country_name,taxa,feed_category,tonnes
CHN,China,oth_carp,soy,4950317.306795447
CHN,China,oth_carp,grain,3910072.354729373
CHN,China,oth_carp,oil,12632541.453741053
CHN,China,hypoph_carp,soy,524252.3410476256
CHN,China,hypoph_carp,grain,4195667.383215077
CHN,China,hypoph_carp,oil,0
IND,India,oth_carp,soy,1380901.4234863908
IND,India,oth_carp,grain,1090722.9064223068
IND,India,oth_carp,oil,3523874.0053643757
CHN,China,catfish,soy,1848147.4966381835
CHN,China,catfish,grain,1795768.48250047
CHN,China,catfish,oil,1041333.2028700948
IDN,Indonesia,catfish,soy,1090664.8726589656
IDN,Indonesia,catfish,grain,1059753.9465080884
IDN,Indonesia,catfish,oil,614531.8743064654
VNM,Vietnam,catfish,soy,960217.8182959459
VNM,Vietnam,catfish,grain,933003.939116229
VNM,Vietnam,catfish,oil,541031.8700200616
CHN,China,tilapia,soy,903893.4163886444
CHN,China,tilapia,grain,1045577.7972347075
CHN,China,tilapia,oil,482574.36795448035
IND,India,catfish,soy,763839.4635307146
IND,India,catfish,grain,742191.2140636152
IND,India,catfish,oil,430383.0708771259
IDN,Indonesia,tilapia,soy,688982.8434169459
IDN,Indonesia,tilapia,grain,796980.208828796
IDN,Indonesia,tilapia,oil,367837.0194594444
BGD,Bangladesh,oth_carp,soy,347697.1915588694
BGD,Bangladesh,oth_carp,grain,274633.1380950315
BGD,Bangladesh,oth_carp,oil,887276.2923070248
MMR,Myanmar (Burma),oth_carp,soy,315120.1040028865
MMR,Myanmar (Burma),oth_carp,grain,248901.70280392596
MMR,Myanmar (Burma),oth_carp,oil,804143.9629049915
BGD,Bangladesh,catfish,soy,326513.7887383223
BGD,Bangladesh,catfish,grain,317259.9438003005
BGD,Bangladesh,catfish,oil,183973.2218486949
VNM,Vietnam,oth_carp,soy,192726.22234173122
VNM,Vietnam,oth_carp,grain,152227.30732338657
VNM,Vietnam,oth_carp,oil,491811.30058324884
IDN,Indonesia,oth_carp,soy,147485.50218515555
IDN,Indonesia,oth_carp,grain,116493.3375131188
IDN,Indonesia,oth_carp,oil,376363.0904269992
IND,India,hypoph_carp,soy,29038.1204519698
IND,India,hypoph_carp,grain,232396.2819254866
IND,India,hypoph_carp,oil,0
BGD,Bangladesh,tilapia,soy,181301.91816485237
BGD,Bangladesh,tilapia,grain,209720.81087459403
BGD,Bangladesh,tilapia,oil,96794.2204036588
BRA,Brazil,tilapia,soy,152467.28415833638
BRA,Brazil,tilapia,grain,176366.37708630876
BRA,Brazil,tilapia,oil,81399.86634752713
PHL,Philippines,tilapia,soy,135057.20045261606
PHL,Philippines,tilapia,grain,156227.28032927256
PHL,Philippines,tilapia,oil,72104.89861351042
NGA,Nigeria,catfish,soy,134337.60247082214
NGA,Nigeria,catfish,grain,130530.29207387318
NGA,Nigeria,catfish,oil,75692.12203100335
VNM,Vietnam,tilapia,soy,128256.74036373124
VNM,Vietnam,tilapia,grain,148360.85498420568
VNM,Vietnam,tilapia,oil,68474.2407619411
THA,Thailand,tilapia,soy,118159.27178028249
THA,Thailand,tilapia,grain,136680.61839026024
THA,Thailand,tilapia,oil,63083.36233396627
BGD,Bangladesh,hypoph_carp,soy,15603.8791518568
BGD,Bangladesh,hypoph_carp,grain,124880.10387945571
BGD,Bangladesh,hypoph_carp,oil,0
BRA,Brazil,catfish,soy,108150.04902864216
BRA,Brazil,catfish,grain,105084.92951985294
BRA,Brazil,catfish,oil,60936.823035180976
IRN,Iran,trout,soy,9211.439476410173
IRN,Iran,trout,grain,96227.94646138513
IRN,Iran,trout,oil,0
USA,United States,catfish,soy,83954.10369709092
USA,United States,catfish,grain,81574.73019337004
USA,United States,catfish,oil,47303.689697930546
THA,Thailand,catfish,soy,77208.8206734261
THA,Thailand,catfish,grain,75020.61766637937
THA,Thailand,catfish,oil,43503.08006689454
PAK,Pakistan,oth_carp,soy,48431.55481021346
PAK,Pakistan,oth_carp,grain,38254.29196225887
PAK,Pakistan,oth_carp,oil,123590.78941652864
KHM,Cambodia,catfish,soy,67268.88764537079
KHM,Cambodia,catfish,grain,65362.395861887926
KHM,Cambodia,catfish,oil,37902.45440511843
IRN,Iran,hypoph_carp,soy,8870.05215457923
IRN,Iran,hypoph_carp,grain,70988.31154099481
IRN,Iran,hypoph_carp,oil,0
EGY,Egypt,tilapia,soy,60969.817854967485
EGY,Egypt,tilapia,grain,70526.77527544732
EGY,Egypt,tilapia,oil,32550.819357898767
TUR,Turkey,trout,soy,5691.904492052178
TUR,Turkey,trout,grain,59460.87819685363
TUR,Turkey,trout,oil,0
MMR,Myanmar (Burma),catfish,soy,51133.17844478691
MMR,Myanmar (Burma),catfish,grain,49683.99460987243
MMR,Myanmar (Burma),catfish,oil,28810.837111050278
RUS,Russia,oth_carp,soy,29887.583490254252
RUS,Russia,oth_carp,grain,23607.09560869733
RUS,Russia,oth_carp,oil,76269.07812040675
IRN,Iran,oth_carp,soy,29671.111008723306
IRN,Iran,oth_carp,grain,23436.11201044759
IRN,Iran,oth_carp,oil,75716.66957221531
CHN,China,trout,soy,4243.475201803328
CHN,China,trout,grain,44329.7603566823
CHN,China,trout,oil,0
UGA,Uganda,tilapia,soy,40607.88345021987
UGA,Uganda,tilapia,grain,46973.12820120021
UGA,Uganda,tilapia,oil,21679.905323630865
COL,Colombia,tilapia,soy,37857.83806254148
COL,Colombia,tilapia,grain,43792.015974238355
COL,Colombia,tilapia,oil,20211.699680417703
IDN,Indonesia,milkfish,soy,14234.78998567571
IDN,Indonesia,milkfish,grain,90240.13000394474
IDN,Indonesia,milkfish,oil,0
EGY,Egypt,hypoph_carp,soy,4878.781354378354
EGY,Egypt,hypoph_carp,grain,39045.59349701325
EGY,Egypt,hypoph_carp,oil,0
KHM,Cambodia,oth_carp,soy,23762.77467714773
KHM,Cambodia,oth_carp,grain,18769.335898778143
KHM,Cambodia,oth_carp,oil,60639.392903744774
MYS,Malaysia,catfish,soy,31541.934544619082
MYS,Malaysia,catfish,grain,30647.993212312707
MYS,Malaysia,catfish,oil,17772.209081696124
LAO,Laos,oth_carp,soy,22006.774127665874
LAO,Laos,oth_carp,grain,17382.336080808236
LAO,Laos,oth_carp,oil,56158.316568765076
MEX,Mexico,tilapia,soy,30003.445029329167
MEX,Mexico,tilapia,grain,34706.45475940733
MEX,Mexico,tilapia,oil,16018.36373511108
PER,Peru,trout,soy,3012.032035425206
PER,Peru,trout,grain,31465.40322901073
PER,Peru,trout,oil,0
GHA,Ghana,tilapia,soy,28833.743520790365
GHA,Ghana,tilapia,grain,33353.40371982076
GHA,Ghana,tilapia,oil,15393.878639917275
TWN,Taiwan,tilapia,soy,28261.346558976238
TWN,Taiwan,tilapia,grain,32691.28411188225
TWN,Taiwan,tilapia,oil,15088.284974714887
PHL,Philippines,milkfish,soy,9546.055788193844
PHL,Philippines,milkfish,grain,60516.33471363997
PHL,Philippines,milkfish,oil,0
NPL,Nepal,oth_carp,soy,15309.032290451467
NPL,Nepal,oth_carp,grain,12092.037788038913
NPL,Nepal,oth_carp,oil,39066.583622894956
RUS,Russia,hypoph_carp,soy,2994.0187778218005
RUS,Russia,hypoph_carp,grain,23961.565733283416
RUS,Russia,hypoph_carp,oil,0
RUS,Russia,trout,soy,2102.939304883845
RUS,Russia,trout,grain,21968.5024648035
RUS,Russia,trout,oil,0
UGA,Uganda,catfish,soy,20130.67718939351
UGA,Uganda,catfish,grain,19560.14641356366
UGA,Uganda,catfish,oil,11342.570109640461
ITA,Italy,trout,soy,2020.8854288352652
ITA,Italy,trout,grain,21111.32091228148
ITA,Italy,trout,oil,0
FRA,France,trout,soy,1971.3018357768792
FRA,France,trout,grain,20593.342441011653
FRA,France,trout,oil,0
MMR,Myanmar (Burma),tilapia,soy,18294.928965792464
MMR,Myanmar (Burma),tilapia,grain,21162.64061867443
MMR,Myanmar (Burma),tilapia,oil,9767.372593234355
EGY,Egypt,catfish,soy,18110.23012649821
EGY,Egypt,catfish,grain,17596.961568897368
EGY,Egypt,catfish,oil,10204.155229301428
HND,Honduras,tilapia,soy,17885.59278545267
HND,Honduras,tilapia,grain,20689.141405151975
HND,Honduras,tilapia,oil,9548.83449468553
MYS,Malaysia,tilapia,soy,17096.4804317585
MYS,Malaysia,tilapia,grain,19776.33648635667
MYS,Malaysia,tilapia,oil,9127.539916780004
IRQ,Iraq,oth_carp,soy,11699.353660922836
IRQ,Iraq,oth_carp,grain,9240.886287224519
IRQ,Iraq,oth_carp,oil,29855.17108180229
LAO,Laos,tilapia,soy,15988.635974874358
LAO,Laos,tilapia,grain,18494.838528847984
LAO,Laos,tilapia,oil,8536.07932100676
COL,Colombia,catfish,soy,14680.241806796983
COL,Colombia,catfish,grain,14264.183784078567
COL,Colombia,catfish,oil,8271.538525678694
THA,Thailand,oth_carp,soy,10104.950575800629
THA,Thailand,oth_carp,grain,7981.526323192789
THA,Thailand,oth_carp,oil,25786.469659545935
PAK,Pakistan,hypoph_carp,soy,1958.2252501155635
PAK,Pakistan,hypoph_carp,grain,15671.960175665998
PAK,Pakistan,hypoph_carp,oil,0
UZB,Uzbekistan,hypoph_carp,soy,1915.7617129351502
UZB,Uzbekistan,hypoph_carp,grain,15332.118340019115
UZB,Uzbekistan,hypoph_carp,oil,0
NGA,Nigeria,oth_carp,soy,9547.117642624711
NGA,Nigeria,oth_carp,grain,7540.914743087693
NGA,Nigeria,oth_carp,oil,24362.955323821778
MMR,Myanmar (Burma),hypoph_carp,soy,1818.5330348192174
MMR,Myanmar (Burma),hypoph_carp,grain,14553.98315292783
MMR,Myanmar (Burma),hypoph_carp,oil,0
NGA,Nigeria,tilapia,soy,12213.149934163346
NGA,Nigeria,tilapia,grain,14127.54886132408
NGA,Nigeria,tilapia,oil,6520.407166764961
ZMB,Zambia,tilapia,soy,11631.868168636134
ZMB,Zambia,tilapia,grain,13455.151765656641
ZMB,Zambia,tilapia,oil,6210.07004568768
DNK,Denmark,trout,soy,1162.7500763138264
DNK,Denmark,trout,grain,12146.74995998596
DNK,Denmark,trout,oil,0
USA,United States,trout,soy,1089.203458317106
USA,United States,trout,grain,11378.440073444484
USA,United States,trout,oil,0
LAO,Laos,hypoph_carp,soy,1478.3043139184626
LAO,Laos,hypoph_carp,grain,11831.083443479318
LAO,Laos,hypoph_carp,oil,0
POL,Poland,oth_carp,soy,7300.26952575537
POL,Poland,oth_carp,grain,5766.2126053102465
POL,Poland,oth_carp,oil,18629.30226331003
CZE,Czechia,oth_carp,soy,7260.532444355456
CZE,Czechia,oth_carp,grain,5734.825755981186
CZE,Czechia,oth_carp,oil,18527.898596246912
TWN,Taiwan,milkfish,soy,3982.398769479532
TWN,Taiwan,milkfish,grain,25246.047398452258
TWN,Taiwan,milkfish,oil,0
ECU,Ecuador,tilapia,soy,10297.765543139418
ECU,Ecuador,tilapia,grain,11911.929899935989
ECU,Ecuador,tilapia,oil,5497.813799970457
BRA,Brazil,oth_carp,soy,7140.023879060109
BRA,Brazil,oth_carp,grain,5639.640502094005
BRA,Brazil,oth_carp,oil,18220.377006765244
COL,Colombia,trout,soy,957.7526000319223
COL,Colombia,trout,grain,10005.229492648337
COL,Colombia,trout,oil,0
ESP,Spain,trout,soy,928.0153971833437
ESP,Spain,trout,grain,9694.577724164967
ESP,Spain,trout,oil,0
CRI,Costa Rica,tilapia,soy,9078.293307767643
CRI,Costa Rica,tilapia,grain,10501.306622311988
CRI,Costa Rica,tilapia,oil,4846.7569026055335
UZB,Uzbekistan,oth_carp,soy,6259.536441471945
UZB,Uzbekistan,oth_carp,grain,4944.176075263426
UZB,Uzbekistan,oth_carp,oil,15973.491935466454
CUB,Cuba,hypoph_carp,soy,1175.5536243231202
CUB,Cuba,hypoph_carp,grain,9408.125844391257
CUB,Cuba,hypoph_carp,oil,0
POL,Poland,trout,soy,846.938703214475
POL,Poland,trout,grain,8847.60437255338
POL,Poland,trout,oil,0
LKA,Sri Lanka,tilapia,soy,8231.708582589548
LKA,Sri Lanka,tilapia,grain,9522.020595801461
LKA,Sri Lanka,tilapia,oil,4394.778736523752
PHL,Philippines,hypoph_carp,soy,1100.378833012787
PHL,Philippines,hypoph_carp,grain,8806.491106222082
PHL,Philippines,hypoph_carp,oil,0
HUN,Hungary,oth_carp,soy,4852.919449593896
HUN,Hungary,oth_carp,grain,3833.1413934895986
HUN,Hungary,oth_carp,oil,12383.99527127409
JPN,Japan,trout,soy,696.6072206077454
JPN,Japan,trout,grain,7277.156029839123
JPN,Japan,trout,oil,0
NPL,Nepal,hypoph_carp,soy,938.2706972013098
NPL,Nepal,hypoph_carp,grain,7509.116226371568
NPL,Nepal,hypoph_carp,oil,0
MWI,Malawi,tilapia,soy,6079.367186541379
MWI,Malawi,tilapia,grain,7032.301857979051
MWI,Malawi,tilapia,oil,3245.677780605716
ARM,Armenia,trout,soy,598.5267681001784
ARM,Armenia,trout,grain,6252.551725921497
ARM,Armenia,trout,oil,0
DEU,Germany,trout,soy,597.75837059872
DEU,Germany,trout,grain,6244.524607703898
DEU,Germany,trout,oil,0
MYS,Malaysia,oth_carp,soy,4036.4510992797495
MYS,Malaysia,oth_carp,grain,3188.243273384758
MYS,Malaysia,oth_carp,oil,10300.47826785845
GBR,United Kingdom,trout,soy,574.5060035781629
GBR,United Kingdom,trout,grain,6001.617130052354
GBR,United Kingdom,trout,oil,0
UZB,Uzbekistan,catfish,soy,5615.659110173306
UZB,Uzbekistan,catfish,grain,5456.503691864216
UZB,Uzbekistan,catfish,oil,3164.1264011993676
ZWE,Zimbabwe,tilapia,soy,5539.113886888676
ZWE,Zimbabwe,tilapia,grain,6407.364398807673
ZWE,Zimbabwe,tilapia,oil,2957.2451071420032
KEN,Kenya,tilapia,soy,5357.548020733322
KEN,Kenya,tilapia,grain,6197.338266361434
KEN,Kenya,tilapia,oil,2860.3099690898925
SWE,Sweden,trout,soy,538.8113051297066
SWE,Sweden,trout,grain,5628.729967296776
SWE,Sweden,trout,oil,0
GTM,Guatemala,tilapia,soy,5296.8454027948155
GTM,Guatemala,tilapia,grain,6127.120574319704
GTM,Guatemala,tilapia,oil,2827.901803532172
UKR,Ukraine,oth_carp,soy,3642.1873465977014
UKR,Ukraine,oth_carp,grain,2876.8289327893112
UKR,Ukraine,oth_carp,oil,9294.37039824239
USA,United States,tilapia,soy,5184.111969480448
USA,United States,tilapia,grain,5996.716289099353
USA,United States,tilapia,oil,2767.7152103535477
MEX,Mexico,trout,soy,521.3762011650109
MEX,Mexico,trout,grain,5446.592934842726
MEX,Mexico,trout,oil,0
CAN,Canada,trout,soy,511.86250704284845
CAN,Canada,trout,grain,5347.207464093891
CAN,Canada,trout,oil,0
BLR,Belarus,oth_carp,soy,3464.3166012838074
BLR,Belarus,oth_carp,grain,2736.3354167449456
BLR,Belarus,oth_carp,oil,8840.468269483672
TZA,Tanzania,tilapia,soy,4877.888941487092
TZA,Tanzania,tilapia,grain,5642.493110495993
TZA,Tanzania,tilapia,oil,2604.227589459689
LKA,Sri Lanka,oth_carp,soy,2969.3061015591825
LKA,Sri Lanka,oth_carp,grain,2345.344950817221
LKA,Sri Lanka,oth_carp,oil,7577.268302640254
UKR,Ukraine,hypoph_carp,soy,584.5637629894719
UKR,Ukraine,hypoph_carp,grain,4678.3484245072505
UKR,Ukraine,hypoph_carp,oil,0
SAU,Saudi Arabia,tilapia,soy,4078.457142743374
SAU,Saudi Arabia,tilapia,grain,4717.751184053595
SAU,Saudi Arabia,tilapia,oil,2177.423623409352
ISR,Israel,tilapia,soy,3999.8689320194153
ISR,Israel,tilapia,grain,4626.844350606714
ISR,Israel,tilapia,oil,2135.466623356946
SLV,El Salvador,tilapia,soy,3859.49412803662
SLV,El Salvador,tilapia,grain,4464.465937760219
SLV,El Salvador,tilapia,oil,2060.5227405047167
FRA,France,oth_carp,soy,2686.9835994226605
FRA,France,oth_carp,grain,2122.348859393611
FRA,France,oth_carp,oil,6856.81939188705
AFG,Afghanistan,oth_carp,soy,2630.2163402799283
AFG,Afghanistan,oth_carp,grain,2077.5105032092392
AFG,Afghanistan,oth_carp,oil,6711.95701036831
PRY,Paraguay,tilapia,soy,3691.477953385398
PRY,Paraguay,tilapia,grain,4270.113397287579
PRY,Paraguay,tilapia,oil,1970.821567978883
CUB,Cuba,catfish,soy,3640.4402844273773
CUB,Cuba,catfish,grain,3537.2652545813407
CUB,Cuba,catfish,oil,2051.1952363844457
KHM,Cambodia,tilapia,soy,3522.919791074011
KHM,Cambodia,tilapia,grain,4075.1339131359955
KHM,Cambodia,tilapia,oil,1880.831036831998
TWN,Taiwan,misc_diad,soy,92.57370771689169
TWN,Taiwan,misc_diad,grain,2758.367166370154
TWN,Taiwan,misc_diad,oil,742.6373140227338
MDA,Moldova,hypoph_carp,soy,467.2120445187712
MDA,Moldova,hypoph_carp,grain,3739.1656321751343
MDA,Moldova,hypoph_carp,oil,0
PRK,North Korea,catfish,soy,3246.0457284238755
PRK,North Korea,catfish,grain,3154.0483768001254
PRK,North Korea,catfish,oil,1828.9747983811374
MDA,Moldova,oth_carp,soy,2208.246380652285
MDA,Moldova,oth_carp,grain,1744.212055572073
MDA,Moldova,oth_carp,oil,5635.146641079006
KOR,South Korea,catfish,soy,3093.4815791879537
KOR,South Korea,catfish,grain,3005.808103090519
KOR,South Korea,catfish,oil,1743.0129828572235
ROU,Romania,oth_carp,soy,2094.598327848535
ROU,Romania,oth_carp,grain,1654.4456664909605
ROU,Romania,oth_carp,oil,5345.132153278488
ECU,Ecuador,trout,soy,301.8704470014655
ECU,Ecuador,trout,grain,3153.510728341883
ECU,Ecuador,trout,oil,0
PHL,Philippines,catfish,soy,2897.14991338045
PHL,Philippines,catfish,grain,2815.0407437670583
PHL,Philippines,catfish,oil,1632.3904904684712
BGR,Bulgaria,oth_carp,soy,1914.607893078251
BGR,Bulgaria,oth_carp,grain,1512.2778862266703
BGR,Bulgaria,oth_carp,oil,4885.820863193858
SDN,Sudan,tilapia,soy,2709.938300826162
SDN,Sudan,tilapia,grain,3134.718394719997
SDN,Sudan,tilapia,oil,1446.7931052553831
DEU,Germany,oth_carp,soy,1790.4393533617756
DEU,Germany,oth_carp,grain,1414.2017540550946
DEU,Germany,oth_carp,oil,4568.959513101076
ISL,Iceland,trout,soy,254.01025976777856
ISL,Iceland,trout,grain,2653.5359365029517
ISL,Iceland,trout,oil,0
ROU,Romania,hypoph_carp,soy,348.8292842128018
ROU,Romania,hypoph_carp,grain,2791.7312627678984
ROU,Romania,hypoph_carp,oil,0
VEN,Venezuela,catfish,soy,2369.6133817494297
VEN,Venezuela,catfish,grain,2302.4553150640913
VEN,Venezuela,catfish,oil,1335.1516028182302
GHA,Ghana,catfish,soy,2274.9370480037337
GHA,Ghana,catfish,grain,2210.462237407421
GHA,Ghana,catfish,oil,1281.8065045321139
HUN,Hungary,catfish,soy,2269.5810725518345
HUN,Hungary,catfish,grain,2205.2580575857014
HUN,Hungary,catfish,oil,1278.7886961147851
ISR,Israel,oth_carp,soy,1545.961690653742
ISR,Israel,oth_carp,grain,1221.0979000877323
ISR,Israel,oth_carp,oil,3945.0855233603666
SDN,Sudan,catfish,soy,2164.0304856159178
SDN,Sudan,catfish,grain,2102.69891786675
SDN,Sudan,catfish,oil,1219.3165322540915
SRB,Serbia,oth_carp,soy,1446.8460561905315
SRB,Serbia,oth_carp,grain,1142.810130189819
SRB,Serbia,oth_carp,oil,3692.155805228645
ARM,Armenia,tilapia,soy,2058.469133307553
ARM,Armenia,tilapia,grain,2381.1320926293092
ARM,Armenia,tilapia,oil,1098.9840427519891
KOR,South Korea,trout,soy,198.356326447872
KOR,South Korea,trout,grain,2072.1432313141026
KOR,South Korea,trout,oil,0
MDG,Madagascar,oth_carp,soy,1328.353863939935
MDG,Madagascar,oth_carp,grain,1049.2175347143063
MDG,Madagascar,oth_carp,oil,3389.7797275385283
MLI,Mali,tilapia,soy,1850.3458718041036
MLI,Mali,tilapia,grain,2140.3857199148138
MLI,Mali,tilapia,oil,987.8703322683757
PRK,North Korea,oth_carp,soy,1286.7245405685978
PRK,North Korea,oth_carp,grain,1016.3360735124332
PRK,North Korea,oth_carp,oil,3283.5473144247853
PRY,Paraguay,catfish,soy,1780.4560820404963
PRY,Paraguay,catfish,grain,1729.9955346748688
PRY,Paraguay,catfish,oil,1003.192676912054
BGR,Bulgaria,trout,soy,178.7559880951385
BGR,Bulgaria,trout,grain,1867.386926454038
BGR,Bulgaria,trout,oil,0
MEX,Mexico,catfish,soy,1744.444450729362
MEX,Mexico,catfish,grain,1695.0045219826484
MEX,Mexico,catfish,oil,982.9020304988136
COD,Congo - Kinshasa,tilapia,soy,1734.360512528744
COD,Congo - Kinshasa,tilapia,grain,2006.2197726207978
COD,Congo - Kinshasa,tilapia,oil,925.9475873634452
RWA,Rwanda,tilapia,soy,1734.360512528744
RWA,Rwanda,tilapia,grain,2006.2197726207978
RWA,Rwanda,tilapia,oil,925.9475873634452
CIV,Côte d’Ivoire,tilapia,soy,1707.2611295204822
CIV,Côte d’Ivoire,tilapia,grain,1974.8725886735979
CIV,Côte d’Ivoire,tilapia,oil,911.4796563108915
RUS,Russia,catfish,soy,1685.7797482948
RUS,Russia,catfish,grain,1638.0024570181984
RUS,Russia,catfish,oil,949.8475786259372
CHL,Chile,trout,soy,170.61772550058646
CHL,Chile,trout,grain,1782.3699973147022
CHL,Chile,trout,oil,0
MEX,Mexico,oth_carp,soy,1170.1624351288547
MEX,Mexico,oth_carp,grain,924.2679821471896
MEX,Mexico,oth_carp,oil,2986.096557706305
PER,Peru,catfish,soy,1666.1898623237616
PER,Peru,catfish,grain,1618.9677750642095
PER,Peru,catfish,oil,938.8097157177071
NLD,Netherlands,catfish,soy,1660.8933977102167
NLD,Netherlands,catfish,grain,1613.8214194627305
NLD,Netherlands,catfish,oil,935.8254385050153
LTU,Lithuania,oth_carp,soy,1152.0536794623229
LTU,Lithuania,oth_carp,grain,909.9645465243748
LTU,Lithuania,oth_carp,oil,2939.885458001826
PER,Peru,tilapia,soy,1648.6614237034173
PER,Peru,tilapia,grain,1907.0874381061728
PER,Peru,tilapia,oil,880.1942022028489
BIH,Bosnia & Herzegovina,trout,soy,166.81909756659167
BIH,Bosnia & Herzegovina,trout,grain,1742.6873650404216
BIH,Bosnia & Herzegovina,trout,oil,0
JPN,Japan,oth_carp,soy,1141.0219087689186
JPN,Japan,oth_carp,grain,901.2509593058784
JPN,Japan,oth_carp,oil,2911.7338685266845
PAK,Pakistan,catfish,soy,1622.481856590534
PAK,Pakistan,catfish,grain,1576.4985136705957
PAK,Pakistan,catfish,oil,914.182570057505
TWN,Taiwan,catfish,soy,1597.7448241094585
TWN,Taiwan,catfish,grain,1552.4625623404609
TWN,Taiwan,catfish,oil,900.2445627773086
ISR,Israel,catfish,soy,1568.9221020715404
ISR,Israel,catfish,grain,1524.4567154533938
ISR,Israel,catfish,oil,884.0044858842165
BEN,Benin,tilapia,soy,1503.2352947278819
BEN,Benin,tilapia,grain,1738.8659101719186
BEN,Benin,tilapia,oil,802.5534970024241
TWN,Taiwan,trout,soy,152.19309021061991
TWN,Taiwan,trout,grain,1589.8957566931485
TWN,Taiwan,trout,oil,0
AUT,Austria,trout,soy,148.22387803130138
AUT,Austria,trout,grain,1548.4311041745616
AUT,Austria,trout,oil,0
POL,Poland,catfish,soy,1453.6874787124925
POL,Poland,catfish,grain,1412.4879980769892
POL,Poland,catfish,oil,819.0758805416859
RUS,Russia,tilapia,soy,1433.0153734768742
RUS,Russia,tilapia,grain,1657.639087127934
RUS,Russia,tilapia,oil,765.0641940590466
IRN,Iran,tilapia,soy,1418.9236943125784
IRN,Iran,tilapia,grain,1641.3385514753902
IRN,Iran,tilapia,oil,757.5408699117186
BGR,Bulgaria,hypoph_carp,soy,191.29265364473855
BGR,Bulgaria,hypoph_carp,grain,1530.9428012129301
BGR,Bulgaria,hypoph_carp,oil,0
LAO,Laos,catfish,soy,1352.5190535099487
LAO,Laos,catfish,grain,1314.1868236667187
LAO,Laos,catfish,oil,762.0728326588071
KOR,South Korea,oth_carp,soy,915.4666657751292
KOR,South Korea,oth_carp,grain,723.0932240666401
KOR,South Korea,oth_carp,oil,2336.1473392922226
NPL,Nepal,catfish,soy,1298.4182913695506
NPL,Nepal,catfish,grain,1261.61935072005
NPL,Nepal,catfish,oil,731.5899193524549
UKR,Ukraine,catfish,soy,1250.5932176374388
UKR,Ukraine,catfish,grain,1215.149704635195
UKR,Ukraine,catfish,oil,704.6430239896395
HRV,Croatia,oth_carp,soy,836.1060374935895
HRV,Croatia,oth_carp,grain,660.409202120888
HRV,Croatia,oth_carp,oil,2133.629729929023
FIN,Finland,trout,soy,114.85347225368483
FIN,Finland,trout,grain,1199.8248272960407
FIN,Finland,trout,oil,0
ROU,Romania,trout,soy,114.10428468976303
ROU,Romania,trout,grain,1191.998387033883
ROU,Romania,trout,oil,0
BRA,Brazil,trout,soy,112.47105580041347
BRA,Brazil,trout,grain,1174.9367472623799
BRA,Brazil,trout,oil,0
ARG,Argentina,catfish,soy,1091.1041708475457
ARG,Argentina,catfish,grain,1060.1807943884155
