iso3c,country_name,taxa,tonnes_fofm
CHN,China,oth_carp,1370223.49932874
CHN,China,hypoph_carp,76933.47556572709
IND,India,oth_carp,382226.726783788
CHN,China,catfish,1018439.4457883417
IDN,Indonesia,catfish,601021.363539508
VNM,Vietnam,catfish,529137.2601376654
CHN,China,tilapia,164286.58283507975
IND,India,catfish,420921.0797972265
IDN,Indonesia,tilapia,131789.11098688436
BGD,Bangladesh,oth_carp,96240.87366492033
MMR,Myanmar (Burma),oth_carp,87223.69594832794
BGD,Bangladesh,catfish,179928.56233054746
VNM,Vietnam,oth_carp,53345.67107990999
IDN,Indonesia,oth_carp,40823.26210220667
IND,India,hypoph_carp,4261.3134083521645
BGD,Bangladesh,tilapia,34679.55529438816
BRA,Brazil,tilapia,29164.046718725043
PHL,Philippines,tilapia,25833.833962765882
NGA,Nigeria,catfish,74028.0273396941
VNM,Vietnam,tilapia,24395.095779031424
THA,Thailand,tilapia,22601.586572972825
BGD,Bangladesh,hypoph_carp,2289.8527321042097
BRA,Brazil,catfish,59597.12425283529
IRN,Iran,trout,157953.1726337719
USA,United States,catfish,46263.71596230949
THA,Thailand,catfish,42546.66290415112
PAK,Pakistan,oth_carp,13405.616326631263
KHM,Cambodia,catfish,37069.16724826855
IRN,Iran,hypoph_carp,1301.6707552271157
EGY,Egypt,tilapia,11662.348589536454
TUR,Turkey,trout,97601.94105931786
MMR,Myanmar (Burma),catfish,28177.429567408723
RUS,Russia,oth_carp,8272.736210319108
IRN,Iran,oth_carp,8212.81769141032
CHN,China,trout,72764.99757004157
UGA,Uganda,tilapia,7767.503806658453
COL,Colombia,tilapia,7241.4732381492295
IDN,Indonesia,milkfish,53546.31636063433
EGY,Egypt,hypoph_carp,715.9559943357395
KHM,Cambodia,oth_carp,6577.4192347600065
MYS,Malaysia,catfish,17381.486269438657
LAO,Laos,oth_carp,6091.366913541876
MEX,Mexico,tilapia,5739.079550005949
PER,Peru,trout,51648.82397461936
GHA,Ghana,tilapia,5515.338242942577
TWN,Taiwan,tilapia,5405.849759376048
PHL,Philippines,milkfish,35908.933236476405
NPL,Nepal,oth_carp,4237.4648929198165
RUS,Russia,hypoph_carp,439.36908326739604
RUS,Russia,trout,36060.15497505196
UGA,Uganda,catfish,11093.203198014906
ITA,Italy,trout,34653.1360089107
FRA,France,trout,33802.90127044112
MMR,Myanmar (Burma),tilapia,3499.466564381343
EGY,Egypt,catfish,9979.816419782772
HND,Honduras,tilapia,3421.1684589681404
MYS,Malaysia,tilapia,3270.226506558466
IRQ,Iraq,oth_carp,3238.3235901157964
LAO,Laos,tilapia,3058.3172587745494
COL,Colombia,catfish,8089.688380905317
THA,Thailand,oth_carp,2797.000652768386
PAK,Pakistan,hypoph_carp,287.36748057414866
UZB,Uzbekistan,hypoph_carp,281.13600148609083
NGA,Nigeria,oth_carp,2642.5952386572812
MMR,Myanmar (Burma),hypoph_carp,266.86779599334596
NGA,Nigeria,tilapia,2336.13969861782
ZMB,Zambia,tilapia,2224.951723701356
DNK,Denmark,trout,19938.258727560376
USA,United States,trout,18677.117981988937
LAO,Laos,hypoph_carp,216.93959169792836
POL,Poland,oth_carp,2020.6787233400307
CZE,Czechia,oth_carp,2009.6796945193619
TWN,Taiwan,milkfish,14980.395537927527
ECU,Ecuador,tilapia,1969.7636581937777
BRA,Brazil,oth_carp,1976.323515954524
COL,Colombia,trout,16423.064186732525
ESP,Spain,trout,15913.145455005968
CRI,Costa Rica,tilapia,1736.5021723550408
UZB,Uzbekistan,oth_carp,1732.6089208939404
CUB,Cuba,hypoph_carp,172.51124878591384
POL,Poland,trout,14522.882720084219
LKA,Sri Lanka,tilapia,1574.5668652972156
PHL,Philippines,hypoph_carp,161.47942781421355
HUN,Hungary,oth_carp,1343.2642511733482
JPN,Japan,trout,11945.073390143794
NPL,Nepal,hypoph_carp,137.69023064909328
MWI,Malawi,tilapia,1162.8655263804192
ARM,Armenia,trout,10263.238679445169
DEU,Germany,trout,10250.062582103377
MYS,Malaysia,oth_carp,1117.26982481145
GBR,United Kingdom,trout,9851.342582743056
UZB,Uzbekistan,catfish,3094.5629406227085
ZWE,Zimbabwe,tilapia,1059.5255045652846
KEN,Kenya,tilapia,1024.7954611181838
SWE,Sweden,trout,9239.26768602597
GTM,Guatemala,tilapia,1013.1842227119888
UKR,Ukraine,oth_carp,1008.1395559058816
MEX,Mexico,trout,8940.2992138913
CAN,Canada,trout,8777.163129253155
BLR,Belarus,oth_carp,958.9058078514589
TZA,Tanzania,tilapia,933.0459433549473
USA,United States,tilapia,893.443326648104
LKA,Sri Lanka,oth_carp,821.8893345425548
UKR,Ukraine,hypoph_carp,85.78411283140937
SAU,Saudi Arabia,tilapia,777.5382861291228
ISR,Israel,tilapia,761.9875204065403
SLV,El Salvador,tilapia,738.246684736731
FRA,France,oth_carp,743.743853588088
AFG,Afghanistan,oth_carp,728.0309552728468
PRY,Paraguay,tilapia,706.1084355767273
CUB,Cuba,catfish,2006.099617288074
KHM,Cambodia,tilapia,673.8665146452397
TWN,Taiwan,misc_diad,21468.810892492114
MDA,Moldova,hypoph_carp,68.56287248840904
PRK,North Korea,catfish,1788.7647055622592
MDA,Moldova,oth_carp,611.2317444628864
KOR,South Korea,catfish,1704.692764400833
ROU,Romania,oth_carp,579.7745220357733
ECU,Ecuador,trout,5176.323955703661
PHL,Philippines,catfish,1596.5023124594093
BGR,Bulgaria,oth_carp,529.9540543582596
SDN,Sudan,tilapia,518.3588574194152
DEU,Germany,oth_carp,495.5848128627105
ISL,Iceland,trout,4355.641321272099
ROU,Romania,hypoph_carp,51.190327848545905
VEN,Venezuela,catfish,1305.798235060449
GHA,Ghana,catfish,1253.6259311482165
HUN,Hungary,catfish,1250.6744693840392
ISR,Israel,oth_carp,427.914597451738
SDN,Sudan,catfish,1192.5098037081727
SRB,Serbia,oth_carp,400.4798769933267
KOR,South Korea,trout,3401.315413802369
MDG,Madagascar,oth_carp,367.6818205766464
MLI,Mali,tilapia,353.9354278459767
PRK,North Korea,oth_carp,356.1590284788027
PRY,Paraguay,catfish,981.1374410008992
BGR,Bulgaria,trout,3065.218581658151
MEX,Mexico,catfish,961.2928853573916
COD,Congo - Kinshasa,tilapia,331.74966874842573
RWA,Rwanda,tilapia,331.74966874842573
CIV,Côte d’Ivoire,tilapia,326.56608017423156
RUS,Russia,catfish,928.9651370886666
CHL,Chile,trout,2925.6677112618113
MEX,Mexico,oth_carp,323.8952106048406
PER,Peru,catfish,918.1699420905984
NLD,Netherlands,catfish,915.2512743460227
LTU,Lithuania,oth_carp,318.88279604227864
PER,Peru,tilapia,315.35708824139414
BIH,Bosnia & Herzegovina,trout,2860.530732902856
JPN,Japan,oth_carp,315.82925613635007
PAK,Pakistan,catfish,894.0842253302025
TWN,Taiwan,catfish,880.4526457640144
ISR,Israel,catfish,864.5696076884253
BEN,Benin,tilapia,287.5398785168386
TWN,Taiwan,trout,2609.731249200343
AUT,Austria,trout,2541.6691772315107
POL,Poland,catfish,801.068460640965
BGR,Bulgaria,hypoph_carp,28.07199423405844
LAO,Laos,catfish,745.3186273176079
KOR,South Korea,oth_carp,253.39667349712465
NPL,Nepal,catfish,715.5058822249038
UKR,Ukraine,catfish,689.151415562953
HRV,Croatia,oth_carp,231.43004165241732
FIN,Finland,trout,1969.450092673724
ROU,Romania,trout,1956.603397765478
BRA,Brazil,trout,1928.597602865501
ARG,Argentina,catfish,601.2634430296607
TZA,Tanzania,catfish,596.2549018540864
GRC,Greece,trout,1871.664627401431
TWN,Taiwan,oth_carp,202.91113121025435
DEU,Germany,catfish,573.5972155836312
MDG,Madagascar,tilapia,194.90293038970012
MOZ,Mozambique,tilapia,190.23770067292534
BOL,Bolivia,catfish,545.573235196489
LSO,Lesotho,trout,1694.0696582302894
BEN,Benin,catfish,523.5416165729806
CUB,Cuba,oth_carp,180.80308328070984
NZL,New Zealand,trout,1558.5440855718662
BOL,Bolivia,trout,1552.8971867110986
MYS,Malaysia,hypoph_carp,17.90150091982456
DZA,Algeria,oth_carp,168.7498237357437
KEN,Kenya,catfish,478.7926861888314
ARM,Armenia,oth_carp,162.36661592416007
ITA,Italy,catfish,450.7687058016893
BDI,Burundi,tilapia,143.0670446477586
ARG,Argentina,trout,1284.1518584290657
CHE,Switzerland,trout,1266.7876444322053
CMR,Cameroon,tilapia,135.91369241537066
CAN,Canada,catfish,388.75819600886433
AGO,Angola,tilapia,134.66963115756406
KAZ,Kazakhstan,catfish,383.9881567940317
MKD,North Macedonia,trout,1193.0956142991877
ZAF,South Africa,trout,1176.4372626599231
BGR,Bulgaria,catfish,366.02090970901156
PNG,Papua New Guinea,tilapia,124.40612578065964
CMR,Cameroon,catfish,351.1941371920569
AUS,Australia,catfish,334.1859661166691
JAM,Jamaica,tilapia,113.10590268891639
HUN,Hungary,hypoph_carp,12.041254173886545
GEO,Georgia,trout,1021.1475439888133
DOM,Dominican Republic,tilapia,108.85536005807718
CZE,Czechia,catfish,308.2637842585627
SVK,Slovakia,trout,969.6666493748149
HTI,Haiti,tilapia,105.7452069135607
SYR,Syria,oth_carp,105.06691340124681
LBN,Lebanon,trout,941.1498101279384
SVK,Slovakia,catfish,279.0216551069327
SRB,Serbia,trout,863.7684727392193
IRQ,Iraq,hypoph_carp,9.961511863680384
KGZ,Kyrgyzstan,oth_carp,94.27738989144778
MWI,Malawi,catfish,268.3147058343389
HKG,Hong Kong SAR China,catfish,260.5633921102358
IND,India,trout,799.9773386087477
SYR,Syria,tilapia,87.60264690388115
HKG,Hong Kong SAR China,oth_carp,88.41124118709102
SVN,Slovenia,trout,771.08403943782
CRI,Costa Rica,trout,752.9198481023508
CZE,Czechia,trout,741.6260503808155
JOR,Jordan,oth_carp,80.65954468490533
KGZ,Kyrgyzstan,trout,710.5681066465935
TUN,Tunisia,catfish,210.7761078054195
EST,Estonia,trout,660.8848081699397
FRA,France,catfish,208.68921564893023
USA,United States,misc_diad,2344.220227073052
MNE,Montenegro,trout,651.2756686085335
PRY,Paraguay,oth_carp,71.1270530403256
CZE,Czechia,hypoph_carp,7.482202244275488
AUT,Austria,oth_carp,69.39863422564906
PRT,Portugal,trout,616.123723200255
POL,Poland,hypoph_carp,7.205493581395476
SVK,Slovakia,oth_carp,68.08922603271229
IRL,Ireland,trout,608.9239271527762
KAZ,Kazakhstan,oth_carp,67.56546275553757
TUN,Tunisia,oth_carp,66.09892557944839
KEN,Kenya,trout,581.630582659066
LVA,Latvia,oth_carp,64.68476473107668
ALB,Albania,trout,564.6898860767631
CIV,Côte d’Ivoire,catfish,172.91392153768507
HKG,Hong Kong SAR China,hypoph_carp,6.364299246240245
COG,Congo - Brazzaville,tilapia,58.263535573942264
ITA,Italy,oth_carp,57.82346580008797
NPL,Nepal,tilapia,57.01947431613567
HRV,Croatia,hypoph_carp,6.079842740799595
DOM,Dominican Republic,catfish,159.49818624596813
BLR,Belarus,trout,498.527054424769
MLI,Mali,catfish,149.0637254635216
SYR,Syria,catfish,149.0637254635216
TWN,Taiwan,hypoph_carp,5.286961738183212
AUT,Austria,catfish,140.86522056302792
BIH,Bosnia & Herzegovina,oth_carp,49.02424274355285
USA,United States,oth_carp,48.29097415550825
CUB,Cuba,tilapia,46.54862539626348
GEO,Georgia,oth_carp,46.719684323984126
KHM,Cambodia,hypoph_carp,4.6487055363841785
ZAF,South Africa,tilapia,41.67605213652098
ISR,Israel,trout,376.4599240511754
KGZ,Kyrgyzstan,hypoph_carp,4.42733860608017
HRV,Croatia,trout,372.22474990559965
GUY,Guyana,catfish,109.04548147068273
PNG,Papua New Guinea,oth_carp,36.66342940222969
UKR,Ukraine,trout,323.9437646460364
GIN,Guinea,tilapia,35.55941761897188
AZE,Azerbaijan,oth_carp,35.61590284788027
GEO,Georgia,hypoph_carp,3.7189644291073427
DZA,Algeria,catfish,98.46136070787087
NPL,Nepal,trout,296.4621901903006
LTU,Lithuania,catfish,93.54941282639689
AZE,Azerbaijan,trout,293.6387407599168
ROU,Romania,catfish,91.42674537579634
CHE,Switzerland,catfish,90.92887253274819
BLR,Belarus,hypoph_carp,3.3426406475905286
MAR,Morocco,tilapia,31.10153144516491
KAZ,Kazakhstan,trout,270.10999550671835
THA,Thailand,hypoph_carp,2.9552485195585136
DNK,Denmark,catfish,79.00377449566645
SEN,Senegal,tilapia,26.954660585809588
BFA,Burkina Faso,tilapia,26.228958185422407
HKG,Hong Kong SAR China,tilapia,25.917942870970755
JAM,Jamaica,catfish,74.23373528083376
KEN,Kenya,oth_carp,25.87390589243067
PAK,Pakistan,tilapia,25.399584013551344
MKD,North Macedonia,oth_carp,25.140637304386075
TUR,Turkey,oth_carp,24.407368716341484
NER,Niger,tilapia,23.844507441293096
TJK,Tajikistan,oth_carp,24.093110750036654
GIN,Guinea,catfish,68.53950096812723
SGP,Singapore,catfish,67.12905999779139
SRB,Serbia,hypoph_carp,2.444112277486558
AUS,Australia,trout,206.46003384776586
ARM,Armenia,catfish,64.69365685116837
GBR,United Kingdom,oth_carp,22.581529932110442
TJK,Tajikistan,hypoph_carp,2.3243527681920892
UGA,Uganda,oth_carp,21.998057641337816
LBR,Liberia,tilapia,21.25271315419602
LKA,Sri Lanka,misc_diad,673.8963375627288
ALB,Albania,catfish,59.62549018540864
ARM,Armenia,hypoph_carp,2.213669303040085
DOM,Dominican Republic,oth_carp,20.950531086988395
BLR,Belarus,catfish,55.30264214696651
BTN,Bhutan,oth_carp,19.379241255464265
ISR,Israel,hypoph_carp,1.9369606401600745
KWT,Kuwait,tilapia,18.14256000967953
LTU,Lithuania,hypoph_carp,1.8208536852156219
RWA,Rwanda,catfish,46.50788234461874
JPN,Japan,catfish,45.315372540910566
BOL,Bolivia,oth_carp,15.712898315241297
JOR,Jordan,tilapia,15.550765722582454
PNG,Papua New Guinea,trout,141.17247151919076
EST,Estonia,catfish,44.25105754110102
SVN,Slovenia,oth_carp,14.487292246652476
KOR,South Korea,tilapia,14.306704464775859
COG,Congo - Brazzaville,catfish,38.756568620515615
UZB,Uzbekistan,trout,122.349475316632
GTM,Guatemala,trout,120.46717569637612
FIN,Finland,catfish,37.89199901282719
ETH,Ethiopia,tilapia,12.855299664001496
PAN,Panama,tilapia,12.450979755214352
ECU,Ecuador,catfish,35.77529411124519
NER,Niger,catfish,35.77529411124519
BFA,Burkina Faso,catfish,35.47716666031814
HRV,Croatia,catfish,35.208851954483805
DEU,Germany,tilapia,11.6112384061949
SRB,Serbia,catfish,32.18285832757431
LTU,Lithuania,trout,99.90305234508067
TGO,Togo,tilapia,10.678192462839952
CAF,Central African Republic,tilapia,10.367177148388304
FJI,Fiji,tilapia,10.367177148388304
MAR,Morocco,trout,94.11498101279385
POL,Poland,tilapia,10.367177148388304
SAU,Saudi Arabia,catfish,29.81274509270432
SWZ,Eswatini,tilapia,10.367177148388304
ZMB,Zambia,oth_carp,10.443839746863715
ARG,Argentina,oth_carp,10.366322781841857
NOR,Norway,trout,91.29153158241003
LVA,Latvia,trout,86.77401249379594
SUR,Suriname,catfish,24.371919113285784
GUY,Guyana,tilapia,8.309810843290645
COD,Congo - Kinshasa,catfish,23.850196074163456
SLE,Sierra Leone,tilapia,8.293741718710642
VEN,Venezuela,trout,75.29198481023508
OMN,Oman,tilapia,8.008437003586996
BIH,Bosnia & Herzegovina,catfish,22.806749995918803
BDI,Burundi,catfish,22.359558819528242
BEL,Belgium,catfish,22.359558819528242
HTI,Haiti,catfish,22.359558819528242
GUM,Guam,tilapia,7.257024003871813
TLS,Timor-Leste,tilapia,7.257024003871813
"NAM",Namibia,tilapia,7.214518577563421
TCD,Chad,tilapia,6.738665146452397
BLZ,Belize,tilapia,6.220306289032982
CHE,Switzerland,tilapia,6.220306289032982
RUS,Russia,tilapia,6.220306289032982
ARG,Argentina,tilapia,5.837757452257454
MWI,Malawi,trout,52.70438936716455
LVA,Latvia,catfish,16.677249604858797
HTI,Haiti,oth_carp,5.761396048921809
HUN,Hungary,trout,50.916204727921475
MDA,Moldova,catfish,15.94981862459681
ZWE,Zimbabwe,trout,47.90452533551206
AFG,Afghanistan,trout,47.057490506396924
BOL,Bolivia,tilapia,5.183588574194152
COL,Colombia,oth_carp,5.237632771747099
PRK,North Korea,tilapia,5.183588574194152
SVN,Slovenia,catfish,13.743675487736692
GAB,Gabon,tilapia,4.6652297167747365
NLD,Netherlands,trout,42.351741455757235
MWI,Malawi,oth_carp,4.609116839137448
CYP,Cyprus,trout,40.94001674056532
AZE,Azerbaijan,hypoph_carp,0.4759389001536183
AGO,Angola,catfish,11.925098037081728
ESP,Spain,oth_carp,4.112694005031257
ARE,United Arab Emirates,tilapia,3.939527316387555
VEN,Venezuela,tilapia,3.6285120019359063
GRC,Greece,catfish,9.778580390407017
CAF,Central African Republic,oth_carp,3.1425796630482594
SEN,Senegal,catfish,8.943823527811297
TKM,Turkmenistan,oth_carp,3.1425796630482594
SVK,Slovakia,hypoph_carp,0.32098204894081234
TGO,Togo,catfish,8.645696076884253
PSE,Palestinian Territories,tilapia,2.695466058580959
PAN,Panama,catfish,7.560512155509816
BRB,Barbados,tilapia,2.591794287097076
CAF,Central African Republic,catfish,7.45318627317608
CMR,Cameroon,oth_carp,2.6188163858735494
GNB,Guinea-Bissau,tilapia,2.591794287097076
TLS,Timor-Leste,oth_carp,2.514063730438607
LKA,Sri Lanka,milkfish,18.742618769368296
EGY,Egypt,oth_carp,2.4616874027211364
ASM,American Samoa,tilapia,2.0734354296776605
BTN,Bhutan,trout,18.82299620255877
BWA,Botswana,tilapia,2.0734354296776605
KGZ,Kyrgyzstan,catfish,5.962549018540864
PAN,Panama,trout,18.82299620255877
SSD,South Sudan,tilapia,2.0734354296776605
TCD,Chad,catfish,5.962549018540864
TJK,Tajikistan,catfish,5.962549018540864
TKM,Turkmenistan,catfish,5.962549018540864
TKM,Turkmenistan,hypoph_carp,0.2213669303040085
ZAF,South Africa,catfish,5.962549018540864
GEO,Georgia,catfish,5.664421567613821
TUN,Tunisia,tilapia,1.9697636581937774
LKA,Sri Lanka,hypoph_carp,0.19923023727360767
MNP,Northern Mariana Islands,tilapia,1.8660918867098946
BTN,Bhutan,hypoph_carp,0.18816189075840722
AUT,Austria,hypoph_carp,0.17155937098560659
BDI,Burundi,oth_carp,1.5712898315241297
BRN,Brunei,catfish,4.4719117639056485
LBN,Lebanon,tilapia,1.5550765722582456
LBR,Liberia,catfish,4.4719117639056485
GMB,Gambia,tilapia,1.2440612578065964
GBR,United Kingdom,catfish,3.3300836268550724
NIC,Nicaragua,tilapia,1.1403894863227133
ATG,Antigua & Barbuda,tilapia,1.0367177148388302
LBY,Libya,tilapia,1.0367177148388302
QAT,Qatar,tilapia,1.0367177148388302
TJK,Tajikistan,trout,9.411498101279385
TZA,Tanzania,trout,9.411498101279385
WSM,Samoa,tilapia,1.0180567959717315
LCA,St. Lucia,tilapia,0.9423764027884968
GNQ,Equatorial Guinea,catfish,2.6831470583433887
SGP,Singapore,oth_carp,0.8906070765078767
TUR,Turkey,catfish,2.3850196074163454
TUR,Turkey,tilapia,0.8293741718710643
VIR,U.S. Virgin Islands,tilapia,0.8293741718710643
GRC,Greece,oth_carp,0.743743853588088
PAN,Panama,oth_carp,0.7018427914141113
GNQ,Equatorial Guinea,tilapia,0.6220306289032982
PRI,Puerto Rico,catfish,1.788764705562259
PSE,Palestinian Territories,oth_carp,0.6285159326096518
VUT,Vanuatu,tilapia,0.6197498499306527
ZMB,Zambia,catfish,1.7589519604695552
TTO,Trinidad & Tobago,tilapia,0.5650111545871626
PER,Peru,oth_carp,0.5551890738051924
ZAF,South Africa,oth_carp,0.5551890738051924
GAB,Gabon,catfish,1.490637254635216
MDG,Madagascar,catfish,1.490637254635216
"NAM",Namibia,catfish,1.490637254635216
REU,Réunion,tilapia,0.5183588574194151
REU,Réunion,trout,4.705749050639692
SLE,Sierra Leone,catfish,1.490637254635216
ZWE,Zimbabwe,catfish,1.490637254635216
GTM,Guatemala,oth_carp,0.41901062173976794
SLB,Solomon Islands,tilapia,0.36285120019359063
BRN,Brunei,tilapia,0.3110153144516491
GMB,Gambia,catfish,0.8943823527811295
MUS,Mauritius,tilapia,0.3110153144516491
PSE,Palestinian Territories,misc_diad,10.046658116027364
ETH,Ethiopia,trout,1.8822996202558768
GLP,Guadeloupe,tilapia,0.20734354296776608
JAM,Jamaica,oth_carp,0.20950531086988397
LBN,Lebanon,oth_carp,0.20950531086988397
PRI,Puerto Rico,tilapia,0.20734354296776608
SYR,Syria,hypoph_carp,0.02213669303040085
TTO,Trinidad & Tobago,catfish,0.5962549018540864
GBR,United Kingdom,tilapia,0.10885536005807718
BHS,Bahamas,tilapia,0.10367177148388304
COK,Cook Islands,tilapia,0.10367177148388304
GUF,French Guiana,catfish,0.2981274509270432
GUF,French Guiana,oth_carp,0.10475265543494199
ITA,Italy,tilapia,0.10367177148388304
LSO,Lesotho,oth_carp,0.10475265543494199
MNP,Northern Mariana Islands,milkfish,0.7822461923776417
RWA,Rwanda,oth_carp,0.10475265543494199
SGP,Singapore,misc_diad,3.348886038675788
SSD,South Sudan,catfish,0.2981274509270432
ESP,Spain,tilapia,0.072673911810202
MKD,North Macedonia,catfish,0.20868921564893023
DZA,Algeria,hypoph_carp,0.006087590583360235
ABW,Aruba,tilapia,0.05183588574194152
CUW,Curaçao,tilapia,0.05183588574194152
GRD,Grenada,tilapia,0.05183588574194152
KNA,St. Kitts & Nevis,tilapia,0.05183588574194152
MTQ,Martinique,tilapia,0.05183588574194152
MYS,Malaysia,misc_diad,1.5069987174041046
SGP,Singapore,tilapia,0.031101531445164907
